#complex,groundtruth,sub-expression
((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&y)*((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)|y)+((-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&~y)*(~(-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)&y),a*y,(-1*(a&b)+10*(a&~b)+2*a+11*~(a|b)-11*~b)
((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&y)*((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))|y)+((3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&~y)*(~(3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))&y),a*y,(3*(a&b)+6*(a&~b)-5*(a^b)-2*~(a&~b)+2*~(a|b)+7*~(a|~b))
((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y)*((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)|y)+((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&~y)*(~(3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y),a*y,(3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)
((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&y)*((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))|y)+((6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&~y)*(~(6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))&y),a*y,(6*(a&b)+7*(a&~b)+1*b-6*~(a&~a)+6*~(a|b)+5*~(a|~b))
((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&y)*((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))|y)+((12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&~y)*(~(12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))&y),a*y,(12*(a&b)+19*(a&~b)-11*a-7*~(a&b)+7*~(a|b)+7*~(a|~b))
((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&y)*((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)|y)+((-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&~y)*(~(-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)&y),a*y,(-4*(a&b)-4*(a&~b)+5*(a|~b)-6*~(a|b)-1*~(a|~b)+1*~a)
((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&y)*((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))|y)+((-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&~y)*(~(-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))&y),a*y,(-1*(a&b)+6*(a&~b)+2*(a|b)-7*~(a&b)+7*~(a|b)+5*~(a|~b))
((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&y)*((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))|y)+((-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&~y)*(~(-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))&y),a*y,(-10*(a&b)-9*(a&~b)-1*(a^b)+11*~(a&~a)-11*~(a|b)-10*~(a|~b))
((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&y)*((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)|y)+((12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&~y)*(~(12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)&y),a*y,(12*(a&b)+1*(a&~b)-11*b+1*~(a|b)+12*~(a|~b)-1*~a)
((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&y)*((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)|y)+((-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&~y)*(~(-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)&y),a*y,(-1*(a&~b)+1*~(a&~b)-3*~(a|b)-1*~(a|~b)+2*~b)
((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&y)*((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|y)+((-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&~y)*(~(-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&y),a*y,(-1*(a&b)-2*(a&~b)+3*(a|b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))
((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&y)*((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))|y)+((13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&~y)*(~(13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))&y),a*y,(13*(a&b)+12*(a&~b)-11*(a|b)-1*b+12*~(a|~b))
((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&y)*((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))|y)+((-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&~y)*(~(-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))&y),a*y,(-1*(a&~b)+1*(a^b)+1*(a|~b)-1*~(a|b)-1*~(a|~b))
((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y)*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|y)+((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&~y)*(~(-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y),a*y,(-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)
((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&y)*((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)|y)+((1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&~y)*(~(1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)&y),a*y,(1*(a&b)+2*(a&~b)-6*(a^b)-5*~(a|b)+6*~(a|~b)+5*~b)
((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&y)*((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))|y)+((8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&~y)*(~(8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))&y),a*y,(8*(a&b)+7*(a&~b)-6*(a|b)-1*~(a^b)+1*~(a|b)+6*~(a|~b))
((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&y)*((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)|y)+((7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&~y)*(~(7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)&y),a*y,(7*(a&b)+7*(a&~b)-6*a+1*~(a|b)+1*~(a|~b)-1*~a)
((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&y)*((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))|y)+((2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&~y)*(~(2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))&y),a*y,(2*(a&b)+8*(a&~b)-7*(a^b)-1*~(a&~b)+1*~(a|b)+8*~(a|~b))
((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&y)*((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))|y)+((-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&~y)*(~(-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))&y),a*y,(-5*(a&b)+1*(a&~b)+1*b+5*~(a^b)-5*~(a|b)-1*~(a|~b))
((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&y)*((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)|y)+((1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&~y)*(~(1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)&y),a*y,(1*(a&b)+6*(a&~b)+8*~(a|b)+3*~(a|~b)-3*~a-5*~b)
