#complex, groundtruth
(x&y)*(x|y)+(x&~y)*(~x&y),x*y
(x&x)*(x|x)+(x&~x)*(~x&x),x*x
(x&y)*(x|y)+(x&~y)*(~x&y)-41,x*y-41
(x&y)*(x|y)+(x&~y)*(~x&y)-165,x*y-165
(x&y)*(x|y)+(x&~y)*(~x&y)-113,x*y-113
(x&y)*(x|y)+(x&~y)*(~x&y)+35,x*y+35
(x&y)*(x|y)+(x&~y)*(~x&y)+237,x*y+237
(x&y)*(x|y)+(x&~y)*(~x&y)-101,x*y-101
(x&y)*(x|y)+(x&~y)*(~x&y)+46,x*y+46
(x&y)*(x|y)+(x&~y)*(~x&y)-129,x*y-129
(x&y)*(x|y)+(x&~y)*(~x&y)-157,x*y-157
(x&y)*(x|y)+(x&~y)*(~x&y)-83,x*y-83
(x&y)*(x|y)+(x&~y)*(~x&y)+5,x*y+5
(x&y)*(x|y)+(x&~y)*(~x&y)-131,x*y-131
(x&y)*(x|y)+(x&~y)*(~x&y)-248,x*y-248
(x&y)*(x|y)+(x&~y)*(~x&y)+4,x*y+4
(x&y)*(x|y)+(x&~y)*(~x&y)-27,x*y-27
(x&y)*(x|y)+(x&~y)*(~x&y)+15,x*y+15
(x&y)*(x|y)+(x&~y)*(~x&y)-193,x*y-193
(x&y)*(x|y)+(x&~y)*(~x&y)-271,x*y-271
(x&y)*(x|y)+(x&~y)*(~x&y)-76,x*y-76
(x&y)*(x|y)+(x&~y)*(~x&y)-236,x*y-236
(x&y)*(x|y)+(x&~y)*(~x&y)+279,x*y+279
(x&y)*(x|y)+(x&~y)*(~x&y)-227,x*y-227
(x&y)*(x|y)+(x&~y)*(~x&y)+237,x*y+237
(x&y)*(x|y)+(x&~y)*(~x&y)+174,x*y+174
(x&y)*(x|y)+(x&~y)*(~x&y)+176,x*y+176
(x&y)*(x|y)+(x&~y)*(~x&y)+100,x*y+100
(x&y)*(x|y)+(x&~y)*(~x&y)+125,x*y+125
(x&y)*(x|y)+(x&~y)*(~x&y)-5,x*y-5
(x&y)*(x|y)+(x&~y)*(~x&y)-203,x*y-203
(x&y)*(x|y)+(x&~y)*(~x&y)-270,x*y-270
(x&y)*(x|y)+(x&~y)*(~x&y)+83,x*y+83
(x&y)*(x|y)+(x&~y)*(~x&y)+287,x*y+287
(x&y)*(x|y)+(x&~y)*(~x&y)-13,x*y-13
(x&y)*(x|y)+(x&~y)*(~x&y)-16,x*y-16
(x&y)*(x|y)+(x&~y)*(~x&y)-50,x*y-50
(x&y)*(x|y)+(x&~y)*(~x&y)-268,x*y-268
(x&y)*(x|y)+(x&~y)*(~x&y)+261,x*y+261
(x&y)*(x|y)+(x&~y)*(~x&y)+127,x*y+127
(x&y)*(x|y)+(x&~y)*(~x&y)+62,x*y+62
(x&y)*(x|y)+(x&~y)*(~x&y)+173,x*y+173
(x&y)*(x|y)+(x&~y)*(~x&y)-20,x*y-20
(x&y)*(x|y)+(x&~y)*(~x&y)-151,x*y-151
(x&y)*(x|y)+(x&~y)*(~x&y)-294,x*y-294
(x&y)*(x|y)+(x&~y)*(~x&y)-237,x*y-237
(x&y)*(x|y)+(x&~y)*(~x&y)-203,x*y-203
(x&y)*(x|y)+(x&~y)*(~x&y)-206,x*y-206
(x&y)*(x|y)+(x&~y)*(~x&y)-74,x*y-74
(x&y)*(x|y)+(x&~y)*(~x&y)+227,x*y+227
(x&y)*(x|y)+(x&~y)*(~x&y)-188,x*y-188
(x&y)*(x|y)+(x&~y)*(~x&y)-98,x*y-98
(x&y)*(x|y)+(x&~y)*(~x&y)-253,x*y-253
(x&y)*(x|y)+(x&~y)*(~x&y)-32,x*y-32
(x&y)*(x|y)+(x&~y)*(~x&y)-176,x*y-176
(x&y)*(x|y)+(x&~y)*(~x&y)-250,x*y-250
(x&y)*(x|y)+(x&~y)*(~x&y)+37,x*y+37
(x&y)*(x|y)+(x&~y)*(~x&y)+36,x*y+36
(x&y)*(x|y)+(x&~y)*(~x&y)+259,x*y+259
(x&y)*(x|y)+(x&~y)*(~x&y)+65,x*y+65
(x&y)*(x|y)+(x&~y)*(~x&y)-126,x*y-126
(x&y)*(x|y)+(x&~y)*(~x&y)-123,x*y-123
